"기간","자치구","인구"
1991,"종로구",236806
1991,"중구",184142
1991,"용산구",294341
1991,"성동구",789014
1991,"동대문구",479776
1991,"중랑구",450728
1991,"성북구",542532
1991,"도봉구",744880
1991,"노원구",525500
1991,"은평구",495530
1991,"서대문구",392586
1991,"마포구",442271
1991,"양천구",508001
1991,"강서구",408676
1991,"구로구",747623
1991,"영등포구",462359
1991,"동작구",429173
1991,"관악구",588638
1991,"서초구",420783
1991,"강남구",517218
1991,"송파구",688121
1991,"강동구",555829
1992,"종로구",227988
1992,"중구",176836
1992,"용산구",287124
1992,"성동구",780526
1992,"동대문구",470594
1992,"중랑구",458391
1992,"성북구",527296
1992,"도봉구",766799
1992,"노원구",571833
1992,"은평구",507551
1992,"서대문구",390140
1992,"마포구",432453
1992,"양천구",508096
1992,"강서구",437932
1992,"구로구",738914
1992,"영등포구",453256
1992,"동작구",427486
1992,"관악구",589655
1992,"서초구",419765
1992,"강남구",559068
1992,"송파구",689419
1992,"강동구",548740
1993,"종로구",222423
1993,"중구",167383
1993,"용산구",276439
1993,"성동구",767976
1993,"동대문구",459000
1993,"중랑구",460157
1993,"성북구",514240
1993,"도봉구",780472
1993,"노원구",588188
1993,"은평구",512196
1993,"서대문구",381905
1993,"마포구",422406
1993,"양천구",499848
1993,"강서구",474434
1993,"구로구",724230
1993,"영등포구",445221
1993,"동작구",440361
1993,"관악구",590442
1993,"서초구",410719
1993,"강남구",566379
1993,"송파구",685260
1993,"강동구",535785
1994,"종로구",214930
1994,"중구",156302
1994,"용산구",268689
1994,"성동구",753072
1994,"동대문구",443027
1994,"중랑구",457749
1994,"성북구",503536
1994,"도봉구",775394
1994,"노원구",589582
1994,"은평구",511788
1994,"서대문구",374662
1994,"마포구",412484
1994,"양천구",492449
1994,"강서구",508345
1994,"구로구",698274
1994,"영등포구",433512
1994,"동작구",440651
1994,"관악구",578658
1994,"서초구",412315
1994,"강남구",572311
1994,"송파구",680067
1994,"강동구",520903
1995,"종로구",204733
1995,"중구",145646
1995,"용산구",260993
1995,"성동구",342648
1995,"광진구",391148
1995,"동대문구",420069
1995,"중랑구",454951
1995,"성북구",497614
1995,"강북구",395078
1995,"도봉구",374271
1995,"노원구",599462
1995,"은평구",503272
1995,"서대문구",371449
1995,"마포구",400409
1995,"양천구",487130
1995,"강서구",523606
1995,"구로구",383224
1995,"금천구",284609
1995,"영등포구",417914
1995,"동작구",436684
1995,"관악구",558462
1995,"서초구",407887
1995,"강남구",559032
1995,"송파구",669042
1995,"강동구",506610
1996,"종로구",199475
1996,"중구",134839
1996,"용산구",255024
1996,"성동구",331206
1996,"광진구",392217
1996,"동대문구",399280
1996,"중랑구",478390
1996,"성북구",487404
1996,"강북구",379695
1996,"도봉구",382424
1996,"노원구",586997
1996,"은평구",498532
1996,"서대문구",366134
1996,"마포구",393040
1996,"양천구",486839
1996,"강서구",524006
1996,"구로구",378676
1996,"금천구",273867
1996,"영등포구",408087
1996,"동작구",434873
1996,"관악구",543314
1996,"서초구",408781
1996,"강남구",557533
1996,"송파구",671560
1996,"강동구",497659
1997,"종로구",196611
1997,"중구",129680
1997,"용산구",245683
1997,"성동구",326026
1997,"광진구",397824
1997,"동대문구",389281
1997,"중랑구",475662
1997,"성북구",478812
1997,"강북구",368412
1997,"도봉구",388620
1997,"노원구",587428
1997,"은평구",491677
1997,"서대문구",358995
1997,"마포구",391116
1997,"양천구",485914
1997,"강서구",519554
1997,"구로구",377660
1997,"금천구",272740
1997,"영등포구",406841
1997,"동작구",432300
1997,"관악구",534620
1997,"서초구",407122
1997,"강남구",555355
1997,"송파구",677214
1997,"강동구",493910
1998,"종로구",190619
1998,"중구",125050
1998,"용산구",246613
1998,"성동구",323230
1998,"광진구",397325
1998,"동대문구",378953
1998,"중랑구",467538
1998,"성북구",481101
1998,"강북구",361424
