자치구,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
강남구,517218.0,559068.0,566379.0,572311.0,559032.0,557533.0,555355.0,554858.0,557257.0,555493.0,546038.0,540813.0,536031.0,539333.0,547775.0,564658.0,569176.0,565624.0,569499.0,577070.0,573003.0,569997.0,569152.0,583446.0,581760.0,572140.0,561052.0,547453.0,550209.0,544055.0
강동구,555829.0,548740.0,535785.0,520903.0,506610.0,497659.0,493910.0,489544.0,491557.0,497753.0,490585.0,483004.0,479270.0,473411.0,466664.0,465203.0,469021.0,473973.0,489655.0,496939.0,500516.0,492728.0,487969.0,481332.0,463321.0,448471.0,440359.0,431920.0,440390.0,463998.0
강북구,0.0,0.0,0.0,0.0,395078.0,379695.0,368412.0,361424.0,352851.0,352772.0,352317.0,362906.0,362094.0,362275.0,355334.0,351624.0,348702.0,345754.0,343912.0,350007.0,348740.0,346493.0,341921.0,338410.0,334426.0,330704.0,328002.0,322915.0,317695.0,311569.0
강서구,408676.0,437932.0,474434.0,508345.0,523606.0,524006.0,519554.0,517881.0,521284.0,522962.0,523542.0,530169.0,539673.0,544762.0,557373.0,559845.0,566495.0,583545.0,579196.0,580506.0,575846.0,573794.0,575236.0,591653.0,595691.0,602104.0,608255.0,603611.0,598273.0,585901.0
관악구,588638.0,589655.0,590442.0,578658.0,558462.0,543314.0,534620.0,526742.0,518774.0,525926.0,529741.0,524560.0,526971.0,535688.0,537235.0,545995.0,550766.0,551873.0,547311.0,549736.0,546350.0,540520.0,535128.0,531960.0,529031.0,525607.0,520929.0,520040.0,517334.0,509803.0
광진구,0.0,0.0,0.0,0.0,391148.0,392217.0,397824.0,397325.0,391705.0,393055.0,390090.0,388478.0,388659.0,384681.0,380480.0,381540.0,386367.0,387254.0,386513.0,388775.0,386673.0,384269.0,381439.0,377375.0,375180.0,372104.0,372298.0,371063.0,366972.0,360109.0
구로구,747623.0,738914.0,724230.0,698274.0,383224.0,378676.0,377660.0,381794.0,396644.0,404786.0,417453.0,415789.0,419438.0,424725.0,427119.0,436786.0,445095.0,448696.0,449613.0,452667.0,458908.0,454478.0,452168.0,457131.0,454604.0,449600.0,441559.0,438486.0,439371.0,432488.0
금천구,0.0,0.0,0.0,0.0,284609.0,273867.0,272740.0,273712.0,270458.0,268768.0,263061.0,264004.0,267355.0,266047.0,263936.0,263989.0,264323.0,265244.0,263116.0,264544.0,264256.0,260734.0,258254.0,258030.0,256167.0,254654.0,253491.0,254021.0,251820.0,247835.0
노원구,525500.0,571833.0,588188.0,589582.0,599462.0,586997.0,587428.0,595891.0,618771.0,634068.0,648615.0,643585.0,633934.0,630555.0,624855.0,621676.0,621192.0,620808.0,615161.0,615425.0,608062.0,600829.0,594027.0,586056.0,578221.0,571212.0,558075.0,548160.0,537303.0,527032.0
도봉구,744880.0,766799.0,780472.0,775394.0,374271.0,382424.0,388620.0,381602.0,376133.0,371932.0,372318.0,373086.0,378166.0,383611.0,383448.0,379755.0,378559.0,376698.0,372398.0,370734.0,367949.0,364454.0,360609.0,355712.0,353241.0,350272.0,346234.0,341649.0,335631.0,327361.0
동대문구,479776.0,470594.0,459000.0,443027.0,420069.0,399280.0,389281.0,378953.0,368368.0,382122.0,383822.0,384356.0,386814.0,383896.0,386280.0,385712.0,385825.0,381663.0,374277.0,379343.0,378534.0,375683.0,376445.0,376319.0,373824.0,370312.0,366011.0,364338.0,363023.0,357014.0
동작구,429173.0,427486.0,440361.0,440651.0,436684.0,434873.0,432300.0,425942.0,420564.0,417396.0,407793.0,404872.0,413204.0,414199.0,414668.0,414978.0,414839.0,410934.0,407973.0,413814.0,413658.0,416268.0,421487.0,419261.0,412774.0,413247.0,408493.0,409385.0,408912.0,401572.0
마포구,442271.0,432453.0,422406.0,412484.0,400409.0,393040.0,391116.0,386880.0,387701.0,390101.0,382195.0,378777.0,383629.0,388111.0,393155.0,397049.0,400392.0,393241.0,392313.0,400464.0,398627.0,393576.0,391098.0,395830.0,398351.0,390887.0,385783.0,386359.0,385925.0,381858.0
서대문구,392586.0,390140.0,381905.0,374662.0,371449.0,366134.0,358995.0,366726.0,371240.0,373105.0,371316.0,368001.0,361754.0,358186.0,355934.0,356652.0,357174.0,340731.0,336649.0,333871.0,324529.0,324733.0,324067.0,320861.0,323105.0,325871.0,325028.0,323080.0,323171.0,322952.0
서초구,420783.0,419765.0,410719.0,412315.0,407887.0,408781.0,407122.0,404765.0,404961.0,401858.0,397983.0,393583.0,400220.0,406752.0,406875.0,413970.0,411951.0,412065.0,431131.0,440021.0,439012.0,439998.0,446541.0,454288.0,451258.0,451477.0,445401.0,438163.0,435107.0,429025.0
성동구,789014.0,780526.0,767976.0,753072.0,342648.0,331206.0,326026.0,323230.0,340704.0,342508.0,343471.0,343018.0,343929.0,343992.0,342691.0,340895.0,341620.0,322679.0,316064.0,316892.0,308767.0,306868.0,306571.0,303891.0,305065.0,307161.0,312711.0,316463.0,308979.0,300505.0
성북구,542532.0,527296.0,514240.0,503536.0,497614.0,487404.0,478812.0,481101.0,475466.0,463488.0,453517.0,446968.0,456535.0,455041.0,467308.0,478511.0,477358.0,481419.0,484457.0,497692.0,494422.0,490639.0,485347.0,475961.0,469560.0,461617.0,455407.0,447687.0,454744.0,447056.0
송파구,688121.0,689419.0,685260.0,680067.0,669042.0,671560.0,677214.0,671406.0,668421.0,665644.0,658242.0,649888.0,623267.0,608439.0,610023.0,612527.0,630691.0,676580.0,689296.0,693144.0,690466.0,680150.0,674955.0,671794.0,667480.0,664946.0,671173.0,673507.0,682741.0,673926.0
양천구,508001.0,508096.0,499848.0,492449.0,487130.0,486839.0,485914.0,484907.0,481622.0,488282.0,486095.0,486350.0,489257.0,497642.0,502788.0,505606.0,508566.0,507899.0,506684.0,505223.0,505605.0,500533.0,496934.0,490708.0,489010.0,481845.0,475018.0,468145.0,462285.0,457781.0
영등포구,462359.0,453256.0,445221.0,433512.0,417914.0,408087.0,406841.0,406019.0,407176.0,409399.0,409920.0,412152.0,410952.0,415889.0,421327.0,429816.0,439151.0,443537.0,441747.0,445648.0,439555.0,426876.0,421577.0,421436.0,417811.0,406779.0,402024.0,403600.0,400986.0,407367.0
