자치구,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
강남구,559032,557533,555355,554858,557257,555493,546038,540813,536031,539333,547775,564658,569176,565624,569499,577070,573003,569997,569152,583446,581760,572140,561052,547453,550209,544055
강동구,506610,497659,493910,489544,491557,497753,490585,483004,479270,473411,466664,465203,469021,473973,489655,496939,500516,492728,487969,481332,463321,448471,440359,431920,440390,463998
강북구,395078,379695,368412,361424,352851,352772,352317,362906,362094,362275,355334,351624,348702,345754,343912,350007,348740,346493,341921,338410,334426,330704,328002,322915,317695,311569
강서구,523606,524006,519554,517881,521284,522962,523542,530169,539673,544762,557373,559845,566495,583545,579196,580506,575846,573794,575236,591653,595691,602104,608255,603611,598273,585901
관악구,558462,543314,534620,526742,518774,525926,529741,524560,526971,535688,537235,545995,550766,551873,547311,549736,546350,540520,535128,531960,529031,525607,520929,520040,517334,509803
광진구,391148,392217,397824,397325,391705,393055,390090,388478,388659,384681,380480,381540,386367,387254,386513,388775,386673,384269,381439,377375,375180,372104,372298,371063,366972,360109
구로구,383224,378676,377660,381794,396644,404786,417453,415789,419438,424725,427119,436786,445095,448696,449613,452667,458908,454478,452168,457131,454604,449600,441559,438486,439371,432488
금천구,284609,273867,272740,273712,270458,268768,263061,264004,267355,266047,263936,263989,264323,265244,263116,264544,264256,260734,258254,258030,256167,254654,253491,254021,251820,247835
노원구,599462,586997,587428,595891,618771,634068,648615,643585,633934,630555,624855,621676,621192,620808,615161,615425,608062,600829,594027,586056,578221,571212,558075,548160,537303,527032
도봉구,374271,382424,388620,381602,376133,371932,372318,373086,378166,383611,383448,379755,378559,376698,372398,370734,367949,364454,360609,355712,353241,350272,346234,341649,335631,327361
동대문구,420069,399280,389281,378953,368368,382122,383822,384356,386814,383896,386280,385712,385825,381663,374277,379343,378534,375683,376445,376319,373824,370312,366011,364338,363023,357014
동작구,436684,434873,432300,425942,420564,417396,407793,404872,413204,414199,414668,414978,414839,410934,407973,413814,413658,416268,421487,419261,412774,413247,408493,409385,408912,401572
마포구,400409,393040,391116,386880,387701,390101,382195,378777,383629,388111,393155,397049,400392,393241,392313,400464,398627,393576,391098,395830,398351,390887,385783,386359,385925,381858
서대문구,371449,366134,358995,366726,371240,373105,371316,368001,361754,358186,355934,356652,357174,340731,336649,333871,324529,324733,324067,320861,323105,325871,325028,323080,323171,322952
서초구,407887,408781,407122,404765,404961,401858,397983,393583,400220,406752,406875,413970,411951,412065,431131,440021,439012,439998,446541,454288,451258,451477,445401,438163,435107,429025
성동구,342648,331206,326026,323230,340704,342508,343471,343018,343929,343992,342691,340895,341620,322679,316064,316892,308767,306868,306571,303891,305065,307161,312711,316463,308979,300505
성북구,497614,487404,478812,481101,475466,463488,453517,446968,456535,455041,467308,478511,477358,481419,484457,497692,494422,490639,485347,475961,469560,461617,455407,447687,454744,447056
송파구,669042,671560,677214,671406,668421,665644,658242,649888,623267,608439,610023,612527,630691,676580,689296,693144,690466,680150,674955,671794,667480,664946,671173,673507,682741,673926
양천구,487130,486839,485914,484907,481622,488282,486095,486350,489257,497642,502788,505606,508566,507899,506684,505223,505605,500533,496934,490708,489010,481845,475018,468145,462285,457781
영등포구,417914,408087,406841,406019,407176,409399,409920,412152,410952,415889,421327,429816,439151,443537,441747,445648,439555,426876,421577,421436,417811,406779,402024,403600,400986,407367
용산구,260993,255024,245683,246613,245716,248794,250550,245218,240723,239070,240077,243033,248362,251043,251200,257143,259288,255294,251925,249914,247909,245102,244444,245090,245185,244645
은평구,503272,498532,491677,480974,473716,470747,469242,471873,476843,480320,473456,467940,463473,463364,470782,492925,498350,505902,508111,503243,502578,495937,491202,487666,484546,484043
종로구,204733,199475,196611,190619,188865,188946,187038,184224,181441,178574,173861,172690,173843,179754,177543,179362,177419,173148,167867,165344,163822,161922,164257,163026,161869,158996
중구,145646,134839,129680,125050,129061,144074,146335,141603,138798,136585,134420,136348,137435,138811,137861,141200,141567,140807,137990,136227,134329,134409,134593,135633,136488,134635
중랑구,454951,478390,475662,467538,462434,459255,449965,443246,438011,436063,429922,429404,431406,432845,429700,432302,428672,423655,421237,423411,418620,415677,412780,408147,402024,399562
